Naziv medija,Sigurni protokol,Hosting,Put podataka,Posrednički servisi,Politike privatnosti,Rukovalac,Vrste podataka,Svrha,Pravni osnov,Rok obrade,Deljenje podataka,Treća strana,Izvoz podataka,Prava korisnika,Kontakt,Transparentnost,Politike kolačića,Trekeri na sajtu,Marketinški kolačići,Kolačići trećih strana,Fejsbuk piksel,Gugl analitika,Intruzivni trekeri,Trekeri na Android aplikaciji,Intruzivne dozvole na Android aplikaciji,Podaci u iOS aplikaciji,Registracija ,Minimizacija podataka,Etički kodeks,total
Danas,9,2,2,2,3,1,2,2,2,2,2,2,1,2,1,9,2,2,3,3,0,0,5,2,1,0,5,5,10,82
Mozzart sport,9,2,1,1,1,1,2,2,2,2,2,2,2,2,1,9,2,2,3,3,0,0,5,1,0,2,5,5,10,79
BIZLife,9,2,2,2,3,1,2,2,2,2,2,2,2,1,1,9,2,2,3,3,0,0,0,3,2,5,0,5,10,79
B92,9,2,2,2,3,1,2,2,2,2,2,2,2,2,1,9,2,1,2,2,0,0,5,1,1,0,5,0,10,74
Radio 021,9,2,2,2,3,1,1,2,1,0,2,1,0,1,1,0,2,2,3,3,0,1,5,3,2,5,5,5,10,74
Niške vesti,9,2,2,2,3,0,2,2,0,2,1,1,0,1,0,4,2,1,2,3,0,1,5,2,1,5,5,5,10,73
Nova,9,0,1,1,3,1,2,2,2,1,2,1,0,0,0,4,10,1,2,2,0,0,0,2,0,5,5,5,10,71
N1,9,0,1,1,3,1,2,2,2,1,2,2,1,0,1,4,10,1,2,2,0,0,0,1,0,5,5,5,7,70
Dnevnik,9,2,2,2,3,0,1,2,0,0,2,1,0,0,0,0,2,2,3,3,1,0,5,3,2,5,5,5,10,70
Telegraf,9,2,2,2,3,1,2,2,2,1,2,2,2,2,1,4,2,1,1,2,0,0,0,1,1,5,5,5,7,69
Noizz,9,1,1,2,3,1,1,2,2,1,2,1,2,1,1,0,2,1,3,2,0,0,5,0,1,5,5,5,10,69
RTV Pančevo,9,2,2,2,3,0,1,0,0,0,1,1,0,0,0,0,2,2,3,3,1,1,5,3,2,5,5,5,10,68
Magločistač,9,2,2,2,3,0,1,1,0,0,1,1,0,0,0,0,2,2,3,3,1,0,5,3,2,5,5,5,10,68
Autonomija,9,2,2,2,3,0,1,2,1,0,0,0,0,1,0,0,6,2,3,3,0,0,5,3,2,5,0,5,10,67
Užice media,9,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,2,2,3,3,1,1,5,3,2,5,5,5,10,67
Info Vranjske,9,2,2,2,3,0,2,2,0,0,2,0,0,0,0,0,0,1,3,2,1,0,5,3,2,5,5,5,10,66
Večernje novosti,9,2,2,2,3,1,2,2,1,1,2,1,0,1,1,4,2,0,2,1,0,0,0,2,2,5,5,5,7,65
Istočne vesti,9,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,2,3,3,1,0,5,3,2,5,5,5,10,65
ZA media,9,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,64
Objektiv,9,0,1,1,3,0,2,2,1,0,2,2,0,0,0,4,2,0,1,0,0,0,5,1,2,5,5,5,10,63
013 info,0,0,1,1,3,1,1,2,1,1,2,1,0,1,1,0,2,2,3,3,1,0,5,3,2,5,5,5,10,62
Srbija danas,9,2,2,2,3,0,0,2,1,0,0,0,0,0,0,0,2,1,2,2,0,1,5,1,2,5,5,5,10,62
Ozon press,9,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,2,2,3,3,0,0,5,3,2,5,5,5,7,62
NG portal,9,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,61
Espreso,9,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,5,1,2,5,5,5,10,60
Informer,9,2,2,2,3,1,2,2,1,1,2,1,0,1,1,0,2,1,2,2,0,0,5,1,2,5,5,5,0,60
Jugpress,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,60
Bujanovačke,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,5,3,2,5,5,5,10,60
IST media,9,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,2,2,3,3,1,1,5,2,0,5,5,5,10,60
RTS,9,2,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,1,1,2,5,5,10,59
TV Zona plus,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,5,3,2,5,5,5,10,59
Kruševac press,9,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,0,2,3,3,1,0,5,3,2,5,0,5,10,59
Kragujevac danas,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,3,2,5,5,5,10,59
Bor 030,9,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,2,3,3,0,0,5,3,2,5,5,5,10,59
Oblakoder,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,2,2,5,5,5,10,59
Insajder,9,0,1,1,3,1,1,1,0,0,1,0,0,1,0,4,0,2,3,3,1,0,5,1,1,0,5,5,10,59
Moj Bečej,9,0,1,1,3,0,1,1,0,0,2,0,0,0,1,0,0,2,3,3,1,0,0,3,2,5,5,5,10,58
Direktno,9,2,2,2,3,0,2,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,5,2,1,0,5,5,10,56
Brif,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,5,5,10,56
Kolubarske,9,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,0,5,10,56
Blic,9,1,1,2,3,1,2,2,2,1,2,1,2,2,1,0,2,1,2,1,0,0,5,0,1,2,5,0,4,55
Zoomer,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,3,0,0,5,3,2,5,5,5,10,55
Južne vesti,9,0,1,1,3,0,1,1,0,0,1,1,0,0,1,0,0,1,2,3,0,0,5,2,1,0,5,5,10,53
Pirotske vesti,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,3,2,0,5,5,10,53
Pištaljka,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,5,3,2,5,0,5,10,50
Mondo,9,0,1,1,3,0,1,1,1,0,0,0,0,0,0,0,2,2,2,3,0,0,0,1,0,2,5,5,10,49
Kurir,9,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,5,1,2,5,5,0,0,46
Pressek,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,5,3,2,5,0,5,10,46
Alo,9,2,2,2,3,0,1,1,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,2,2,2,5,5,0,43
Politika,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,1,5,2,1,5,0,5,4,37
